Barcode,Name,Sales Price,Sales Description,Description for the website,Origin,Website Product Category,barcode_norm,expiration_date,date_repaired
4860019002886,BORJOMI With Lime,1.45,330ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,4860019002886,,
4860019001629,BORJOMI gazuotas,1.90,500ml,,,Gėrimai (sultys - gaivieji gėrimai) / Vanduo,4860019001629,,
4860019002091,BORJOMI gazuotas vanduo,3.45,1250ml,,,Gėrimai (sultys - gaivieji gėrimai) / Vanduo,4860019002091,,
8691685019443,Baby Oil With Natural Olive Oil  EYUP SABRI,8.90,280ml,,,Pramoninės prekės - higienos priemonės,8691685019443,,
8691685003916,Baby Shampoo with Olive oil EYUP SABRI,9.49,600ml,,Turkey,Pramoninės prekės - higienos priemonės,8691685003916,,
8691573012105,Baby okra BURCU,4.50,550g,,,Konservuotas maistas,8691573012105,,
8695876206261,Bahceden Hazelnut Bar,0.75,30g,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai) / Batonėliai - sausainiai,8695876206261,,
8695876206254,Bahceden Pistachio Bar,0.75,30g,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai) / Batonėliai - sausainiai,8695876206254,,
8690777324076,Baked Okra in Olive Oil SERA,5.99,300g,,,Ekologiškos prekės / Konservuotas maistas,8690777324076,,
4779036300182,Baking Sheet AMBER ,3.50,,,,Pramoninės prekės - higienos priemonės / Pramoninės prekės,4779036300182,,
2098765908912,Baking Soda EXTRA LINE,2.50,500g,,,Prieskoniai / Grynieji prieskoniai,2098765908912,,
4262396732330,Baking Soda HUNKAR,2.25,300g,,,Prieskoniai / Grynieji prieskoniai,4262396732330,,
4779043780274,Baking Soda TM,1.75,400g,,,Prieskoniai / Grynieji prieskoniai,4779043780274,,
8690906401050,Baking powder BAŞAK,1.50,50g,,Turkey,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Miltai,8690906401050,,
8717552025239,Baking soda GÜLCAN,1.90,400g,,,Prieskoniai / Grynieji prieskoniai,8717552025239,,
8682276236653,Baking tin 30cm KOCHMASTER,19.00,1vnt.,,,Pramoninės prekės - higienos priemonės / Pramoninės prekės,8682276236653,,
8682276236639,Baking tin 30cm KOCHMASTER,19.00,1vnt.,,,Pramoninės prekės - higienos priemonės / Pramoninės prekės,8682276236639,,
8682276236677,Baking tins 4pcs. KOCHMASTER,7.99,4vnt.,,,Pramoninės prekės - higienos priemonės / Pramoninės prekės,8682276236677,,
0008,Baklava Dideliš,3.95,,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai),8,,
0009,Baklava Mažukas su kakava,1.90,,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai),9,,
0007,Baklava mažukas,1.50,,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai),7,,
4260143890081,Baklava triangles with walnuts and hazelnuts TATLICILAR,10.90,800g,"Sudėtis: cukrus, vanduo, kvietiniai miltai, augaliniai riebalai ir aliejai (palmių, kanolos), graikiniai riešutai, kiaušiniai, lazdyno riešutai, gliukozės sirupas, druska, rūgštingumą reguliuojanti medžiaga: citrinos rūgštis, kukurūzų krakmolas. Sudėtyje gali būti gliuteno, kiaušinių, riešutų pėdsakų. \n100g produkto energinė/maistinė vertė: energinė vertė: 1564,1kJ/373,5kcal; riebalai: 20,7g (iš kurių sočiųjų riebalų rūgščių 6,9g); angliavandeniai: 43,7g (iš kurių cukrų: 30,2g); baltymai: 3,2g; druska: 0g. \nKilmės šalis: Turkija.",,Saldumynai (chalva - lokumas - šokoladas - batonėliai),4260143890081,,
4260143890098,Baklava with pistachios and other nuts TATLICILAR,12.90,800g,"Sudėtis: cukrus, vanduo, kvietiniai miltai, sviestas, augaliniai riebalai ir aliejai (palmių, rapsų), kiaušiniai, pistacijų riešutai, graikiniai riešutai, gliukozės sirupas, lazdyno riešutai, druska, rūgštingumą reguliuojanti medžiaga: citrinos rūgštis, kukurūzų krakmolas, vaisių ir daržovių akstraktai (spirulina, saponaria). Sudėtyje gali būti gliuteno, laktozės, kiaušinių, riešutų pėdsakų. \n100g produkto energinė/maistinė vertė: energinė vertė: 1562,9kJ/373,2kcal; riebalai: 20,6g (iš kurių sočiųjų riebalų rūgščių 8,2g); angliavandeniai: 43,7g (iš kurių cukrų: 30,2g); baltymai: 3,2g; druska: 0g. \nKilmės šalis: Turkija.",,Saldumynai (chalva - lokumas - šokoladas - batonėliai),4260143890098,,
8030467000666,Baldo rice BURCU,2.90,1000g,"Baldo ryžiai - laikomi pačios geriausios kokybės ryžiais, kurie auginami Turkijoje. Balikesir regione auginami ryžiai yra tinkamiausi gaminti plovui. Turkiški baldo ryžiai yra krakmolingi ir gali sugerti daug drėgmės, todėl išvirę jie turi kreminę tekstūrą, todėl puikiai tinka gaminti paeliją ir turkiškus plovus. Prieš verdant baldo ryžius rekomenduojama juos 10 minučių pamirkyti vandenyje. Vienai stiklinei baldo ryžių reikia 1,5 stiklinės vandens.",,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Ryžiai,8030467000666,,
